Category,Article,Author,Comment,Processed_Comment,Sentiment
24 ساعة,فاتي يوضح حقيقة الممارسة في المغرب,محمد صلاح الدين,لاعب في المستوى تبارك الله عليه كنت متابعة مللي كتب فولاد حريز,لاعب المستوي تبارك الله عليه كنت متابعه مللي كتب فولاد حريز,neutral
24 ساعة,الرباط تستعرض مكافحة الفساد بالقاهرة,مغربي غيور,ولماذا قامت هذه الحكومة الرشيدة والكفاءات بسحب قوانين والمتعلقة بالثراء الغير المشروع وغيرها من البرلمان واش هذه هي محاربة الفساد وتضارب المصالح واين هي الاستراتيجية التي اقرارها لمكافحة الفساد ولماذا لا يتم تفعيلها تبا بقانون خاص وبالارادة سياسية حقيقية للدولة للاعلى مستوياتها لمكافحة الفساد .,ولماذا قامت الحكومه الرشيده والكفاءات بسحب قوانين والمتعلقه بالثراء الغير المشروع وغيرها البرلمان هي محاربه الفساد وتضارب المصالح واين هي الاستراتيجيه اقرارها لمكافحه الفساد ولماذا يتم تفعيلها تبا بقانون خاص وبالاراده سياسيه حقيقيه للدوله للاعلي مستوياتها لمكافحه الفساد,positif
24 ساعة,وزير التربية يتفقد أشغال دورة تكوينية,رسالة لمن يهمه الأمر,نحن مجموعة من الحراس الليليين بمدارس الريادة بإحدى مندوبيات التعليم بالدار البيضاء. نرجوا من وزارة التربية ان تجد لنا حلا.. حيث لحد كتابة هذه الأسطر لم نتوصل باجرتي شهري يناير وفبراير. أصبحنا مثل الكرة ما بين المديرية الإقليمية وشركة الحراسة.. كل فيهم يقذفنا للطرف الأخر. وللعلم فالاجرة لا تتجاوز 2000درهم وساعات العمل 12ساعة وبدون عطل ومع ذلك لا يريدون دفع مستحقاتنا والعيد على الأبواب..,مجموعه الحراس الليليين بمدارس الرياده باحدي مندوبيات التعليم بالدار البيضاء نرجوا وزاره التربيه ان تجد لنا حلا حيث لحد كتابه الاسطر نتوصل باجرتي شهري يناير وفبراير اصبحنا مثل الكره المديريه الاقليميه وشركه الحراسه فيهم يقذفنا للطرف الاخر وللعلم فالاجره تتجاوز درهم وساعات العمل ساعه وبدون عطل ومع ذلك يريدون دفع مستحقاتنا والعيد الابواب,negatif
24 ساعة,وزير التربية يتفقد أشغال دورة تكوينية,fadel,آسي بنموسى :,اسي بنموسي,neutral
24 ساعة,وزير التربية يتفقد أشغال دورة تكوينية,القادري,لا أفهم كيف سمح السيد الوزير لتلاميذ التعليم العمومي ، خاصة الاقسام الاشهادية بعطلة بينية وهم الذين حرموا من الدراسة حوالي ثلاثة أشهر ، علما ان ما يسمى بأنشطة الدعم لم تكن كافية لاستدراك الزمن الضائع ، ام ان التعليم العمومي هو آخر انشغالات الوزارة ؟؟؟,افهم سمح السيد الوزير لتلاميذ التعليم العمومي خاصه الاقسام الاشهاديه بعطله بينيه وهم حرموا الدراسه حوالي ثلاثه اشهر علما ان يسمي بانشطه الدعم تكن كافيه لاستدراك الزمن الضايع ام ان التعليم العمومي اخر انشغالات الوزاره,neutral
24 ساعة,"مغادرة مويز تخدم أكرد في ""وست هام""",المكتوم,رب ضرة نافعة.اقالة المدرب في صالح أكرد،لكن بحسب طبيعة المدرب الذي سيخلفه،إن لم يكن أشد عنصرية من سابقه.نايف مثال للاعب المجد المثابر،وقد استطاع فرض نفسه في العديد من المقابلات رفقة ويستهام والمنتخب المغربي،أكرد ليس في حاجة لمن يتبعه بالوصية من اجل اللعب رسميا.بل عنصرية بعض المدربين وتعنتهم واحتقارهم لكل ماهو افريقي هي من تجعل خيرة اللاعبين يجلسون على دكة البدلاء،ويختارون بدائلهم وان كانوا أقل منهم مستوى،لا لشيء سوى لأنهم ذوو الشعر الأشقر.انها العنصرية البغيضة في أبهى تجلياتها،ويكذبون على أنفسهم وعلى الآخرين ويدعون التحضر والديمقراطية.,رب ضره نافعهاقاله المدرب صالح اكردلكن بحسب طبيعه المدرب سيخلفهان يكن اشد عنصريه سابقهنايف مثال للاعب المجد المثابروقد استطاع فرض نفسه العديد المقابلات رفقه ويستهام والمنتخب المغربياكرد ليس حاجه لمن يتبعه بالوصيه اجل اللعب رسميابل عنصريه بعض المدربين وتعنتهم واحتقارهم لكل ماهو افريقي هي تجعل خيره اللاعبين يجلسون دكه البدلاءويختارون بدايلهم وان كانوا اقل منهم مستويلا لشيء سوي لانهم ذوو الشعر الاشقرانها العنصريه البغيضه ابهي تجلياتهاويكذبون انفسهم وعلي الاخرين ويدعون التحضر والديمقراطيه,positif
24 ساعة,"مغادرة مويز تخدم أكرد في ""وست هام""",mohamed,هي ليست مسألة عنصرية كما يعلق بعص المعلقين اكرد هو ابننا و لكن الحقيقة تقال اكرد قام بأخطاء كانت جد مؤثرة في نتائج العديد من المباريات والمدرب موبيس نفذ صبره مع العلم ان موييس هو الذي اتبذه من رين الفرنسي,هي ليست مساله عنصريه يعلق بعص المعلقين اكرد ابننا الحقيقه تقال اكرد قام باخطاء كانت جد موثره نتايج العديد المباريات والمدرب موبيس نفذ صبره العلم ان موييس اتبذه رين الفرنسي,positif
24 ساعة,"مغادرة مويز تخدم أكرد في ""وست هام""",Marokano de Tanger,لا توجد عنصرية في البطولة الإنجليزية,توجد عنصريه البطوله الانجليزيه,neutral
24 ساعة,"""بنك فلسطين"" يتعرض للنهب بقطاع غزة",اين الرحمة,الفليسطنين لم يرحمو لم بعضهم البعض واصوات تتعالى يريدون ان نساتدهم,الفليسطنين يرحمو بعضهم البعض واصوات تتعالي يريدون ان نساتدهم,negatif
24 ساعة,"""بنك فلسطين"" يتعرض للنهب بقطاع غزة",Karim,“وبعد يومين، هاجم مسلحون قالوا إنهم يأتمرون “بأعلى السلطات في غزة” أكبر فروع البنك في القطاع، وقد أشارت “لوموند” إلى أنّ المقصود بذلك هو حركة حماس؛ وقد أخذ المسلّحون مبلغاً يعادل 36 مليون دولار، وفق التقرير.”,وبعد يومين هاجم مسلحون قالوا انهم ياتمرون باعلي السلطات غزه اكبر فروع البنك القطاع وقد اشارت لوموند الي ان المقصود بذلك حركه حماس وقد اخذ المسلحون مبلغا يعادل مليون دولار وفق التقرير,neutral
